posicion,tiempo_lineal,tiempo_binaria,tiempo_galopante
550000,1532727,391,484
600000,1703591,349,457
650000,1845404,395,440
700000,1998184,370,474
750000,2125361,309,476
800000,2254667,371,535
850000,2407308,341,452
900000,2545026,397,396
950000,2662300,401,437
999999,2823097,242,317
0,80,426,48
50000,166276,416,421
100000,303638,398,382
150000,463672,328,378
200000,594800,420,384
250000,723784,270,422
300000,874871,379,426
350000,1012092,393,512
400000,1132932,423,420
450000,1268196,355,354
500000,1440922,301,411
550000,1578398,364,477
600000,1714123,374,494
650000,1837519,393,451
700000,1995982,371,470
750000,2090877,294,439
800000,2229772,394,443
850000,2413780,312,439
900000,2530871,378,442
950000,2696317,362,439
999999,2840987,315,325
0,78,326,47
50000,154382,410,359
100000,309154,358,321
150000,455415,404,390
200000,581607,386,376
250000,718512,315,439
300000,860407,401,452
350000,1011226,362,473
400000,1126259,363,364
450000,1331384,586,424
500000,1410877,308,447
550000,1550316,380,466
600000,1699983,375,484
650000,1844259,364,442
700000,1967814,352,474
750000,2136379,298,487
800000,2263435,401,453
850000,2389030,330,457
900000,2562465,409,480
950000,2695233,353,451
999999,2832129,234,336
0,96,331,40
50000,139353,362,325
100000,325645,316,355
150000,442462,360,399
200000,589560,348,373
250000,740076,343,426
300000,881902,377,424
350000,1011677,353,460
400000,1142919,413,434
450000,1254419,370,362
500000,1414775,321,432
550000,1574101,422,441
600000,1711864,357,495
650000,1850867,405,478
700000,2035229,412,636
750000,2115573,281,429
800000,2261168,393,427
850000,2431905,345,460
900000,2542390,388,441
950000,2680386,352,412
999999,2851850,342,335
0,84,330,49
50000,162299,326,356
100000,314851,349,379
150000,436531,326,355
200000,584051,382,400
250000,725667,265,412
300000,869967,364,438
350000,1015154,387,462
400000,1131997,390,414
450000,1297075,396,371
500000,1418474,304,420
550000,1548774,420,438
600000,1697120,374,468
650000,1844655,375,438
700000,1969909,355,445
750000,2118605,293,463
800000,2324836,389,553
850000,2393693,390,473
900000,2541897,307,506
950000,2673548,339,462
999999,2805599,317,339
0,100,349,42
50000,150064,368,320
100000,291651,311,319
150000,429861,404,418
